Player: Abdel Karim | Stats Matches: 10.0 | History Items: 10
Player: Constantin | Stats Matches: 15.0 | History Items: 15
Player: Enos | Stats Matches: 6.0 | History Items: 6
Player: Jesus | Stats Matches: 8.0 | History Items: 8
Player: Abdel Rafik | Stats Matches: 1.0 | History Items: 1
Player: Anasse | Stats Matches: 8.0 | History Items: 8
Player: Nabil | Stats Matches: 1.0 | History Items: 1
Player: Dorian | Stats Matches: 1.0 | History Items: 1
Player: Sidoine | Stats Matches: 0.0 | History Items: 0
Player: Luka | Stats Matches: 1.0 | History Items: 1
Player: Christian | Stats Matches: 0.0 | History Items: 0
Player: Mahamat | Stats Matches: 2.0 | History Items: 2
Player: Nassim | Stats Matches: 1.0 | History Items: 1
